arm,k,question_id,type,metric,value
vector,50,ActionGenie::a::0,person,context_precision_id,0.02
vector,50,ActionGenie::a::0,person,context_recall_id,0.058823529411764705
vector,50,ActionGenie::a::0,person,string_similarity,0.09769094138543521
vector,50,ActionGenie::a::0,person,rouge,0.0
vector,50,ActionGenie::a::0,person,chrf,0.05683181271187924
vector,50,ActionGenie::a::0,person,bleu,0.0
vector,50,ActionGenie::a::0,person,exact_match,0.0
vector,50,ActionGenie::a::0,person,string_presence,0.0
vector,50,AnomalyForce::a::0,content,bleu,0.010393786935244427
vector,50,AnomalyForce::a::0,content,string_similarity,0.20038350910834135
vector,50,AnomalyForce::a::0,content,context_precision_id,0.1
vector,50,AnomalyForce::a::0,content,context_recall_id,0.38461538461538464
vector,50,ActionGenie::a::0,person,context_recall_nonllm,0.11764705882352941
vector,50,ActionGenie::a::0,person,context_precision_nonllm,0.10795454544914773
vector,50,AnomalyForce::a::0,content,rouge,0.16267942583732056
vector,50,AnomalyForce::a::0,content,context_recall_nonllm,0.38461538461538464
vector,50,AnomalyForce::a::0,content,context_precision_nonllm,0.38532415267077924
vector,50,AnomalyForce::a::0,content,chrf,0.37005302386517447
vector,50,AnomalyForce::a::0,content,string_presence,0.0
vector,50,AnomalyForce::a::0,content,exact_match,0.0
vector,50,AutoTuneForce::a::0,person,context_precision_id,0.0
vector,50,AutoTuneForce::a::0,person,bleu,0.0
vector,50,AutoTuneForce::a::0,person,string_similarity,0.03431372549019607
vector,50,AutoTuneForce::a::0,person,context_recall_id,0.0
vector,50,AutoTuneForce::a::0,person,context_precision_nonllm,0.0
vector,50,AutoTuneForce::a::0,person,rouge,0.02631578947368421
vector,50,AutoTuneForce::a::0,person,exact_match,0.0
vector,50,AutoTuneForce::a::0,person,string_presence,0.0
vector,50,AutoTuneForce::a::0,person,chrf,0.045959052349090125
vector,50,CoachForce::a::5,pr,context_precision_id,0.18
vector,50,AutoTuneForce::a::0,person,context_recall_nonllm,0.0
vector,50,CoachForce::a::5,pr,bleu,0.2547535838707676
vector,50,CoachForce::a::5,pr,context_recall_id,0.34615384615384615
vector,50,CoachForce::a::5,pr,string_similarity,0.0803571428571429
vector,50,CoachForce::a::5,pr,rouge,0.14893617021276595
vector,50,CoachForce::a::5,pr,string_presence,0.0
vector,50,CoachForce::a::5,pr,exact_match,0.0
vector,50,CoachForce::a::5,pr,chrf,0.3127888546310109
vector,50,CoachForce::a::5,pr,context_precision_nonllm,0.5779997329013533
vector,50,CollaborateForce::a::1,content,context_precision_id,0.02
vector,50,CollaborateForce::a::1,content,context_recall_id,0.08333333333333333
vector,50,CollaborateForce::a::1,content,rouge,0.15267175572519082
vector,50,CollaborateForce::a::1,content,bleu,0.016640851904772224
vector,50,CollaborateForce::a::1,content,string_similarity,0.21875
vector,50,CollaborateForce::a::1,content,string_presence,0.0
vector,50,CollaborateForce::a::1,content,exact_match,0.0
vector,50,CoachForce::a::5,pr,context_recall_nonllm,0.34615384615384615
vector,50,CollaborateForce::a::1,content,chrf,0.3091782054074257
vector,50,CollaborateForce::a::1,content,context_recall_nonllm,0.16666666666666666
vector,50,CollaborationForce::a::6,pr,context_precision_id,0.16
vector,50,CollaborationForce::a::6,pr,context_recall_id,0.1702127659574468
vector,50,CollaborateForce::a::1,content,context_precision_nonllm,0.06386054421609055
vector,50,CollaborationForce::a::6,pr,rouge,0.2857142857142857
vector,50,CollaborationForce::a::6,pr,string_similarity,0.20945083014048527
